id	sentiment
15923	negative
27014	neutral
30530	neutral
13876	positive
60133	neutral
83681	negative
96874	negative
65507	negative
78910	neutral
46363	positive
68123	neutral
22452	neutral
15565	neutral
64376	positive
12588	neutral
34263	negative
65773	neutral
95457	negative
24930	negative
15938	neutral
45712	neutral
70840	negative
53563	positive
59432	positive
21454	neutral
83155	neutral
69576	neutral
49139	negative
76669	negative
58995	negative
88490	negative
77101	negative
86917	neutral
78472	positive
17798	neutral
71873	positive
30247	positive
81150	neutral
46444	negative
60587	negative
70569	negative
59200	negative
30900	negative
44546	negative
53982	positive
37884	negative
15079	negative
51628	negative
30899	negative
99680	neutral
38628	neutral
40110	negative
50310	neutral
84101	positive
84876	negative
57425	negative
83262	positive
46777	negative
54053	negative
15998	negative
62945	negative
96457	negative
85977	neutral
70841	negative
46139	negative
99009	neutral
66388	positive
91217	negative
91994	negative
58751	negative
80947	negative
99253	neutral
40386	negative
58742	negative
39752	negative
25262	positive
17703	positive
98916	negative
18709	negative
26026	negative
32190	negative
27550	negative
68539	neutral
93643	neutral
99120	negative
24040	negative
85436	positive
73516	negative
88905	negative
52955	positive
33452	neutral
13276	positive
26462	negative
94339	neutral
23786	neutral
27371	positive
88670	neutral
54391	neutral
42112	negative
37740	negative
72405	negative
20780	negative
38820	positive
82913	positive
97383	negative
21397	neutral
51738	positive
47445	neutral
27158	negative
26382	positive
17183	neutral
10595	neutral
49481	neutral
37949	positive
96729	neutral
42325	negative
21748	positive
24316	negative
19516	positive
79383	negative
64857	neutral
89936	neutral
90362	negative
75620	negative
24907	positive
26259	neutral
76095	positive
11557	positive
51963	neutral
15180	negative
58026	neutral
26432	positive
76565	negative
91588	neutral
58033	neutral
81352	negative
33133	neutral
96661	neutral
91036	negative
56581	negative
22882	negative
66377	neutral
40842	negative
73612	neutral
45709	positive
21338	neutral
15630	positive
15815	negative
53858	positive
89606	positive
30942	negative
56973	positive
24049	neutral
79204	negative
46229	negative
93101	negative
42196	negative
38084	neutral
67973	neutral
72071	neutral
34669	negative
66054	positive
15607	neutral
13959	positive
34575	negative
27546	negative
69203	negative
86385	negative
20357	negative
83011	neutral
80059	negative
52104	negative
29531	negative
52445	negative
12746	neutral
10991	negative
63725	neutral
57135	negative
11284	neutral
57107	negative
72369	negative
84879	positive
42192	negative
20034	negative
39516	neutral
43587	negative
10684	negative
76394	neutral
76692	positive
41553	negative
48839	neutral
38718	positive
56048	negative
18997	negative
36720	neutral
51656	negative
62986	negative
24430	negative
19563	negative
19836	neutral
31033	neutral
70051	negative
73642	positive
10727	negative
73442	neutral
59758	negative
11781	neutral
11645	negative
91116	positive
86437	positive
86268	negative
21643	neutral
72274	negative
95198	negative
31550	negative
21524	negative
84579	negative
26291	neutral
72424	neutral
28744	neutral
59961	neutral
59519	negative
51386	negative
76052	positive
14837	neutral
57295	positive
74610	neutral
55653	negative
10918	neutral
57541	negative
55318	neutral
80965	negative
14051	negative
25125	negative
81974	positive
76797	neutral
57494	negative
49441	negative
78266	positive
31401	negative
80020	positive
61295	negative
45518	negative
53351	negative
51610	neutral
26758	neutral
30718	negative
25463	negative
82558	neutral
85613	negative
36875	negative
86142	neutral
87711	neutral
51626	neutral
59423	neutral
80555	positive
85830	positive
29102	neutral
85886	negative
54621	negative
80397	negative
76937	negative
68875	negative
89591	positive
67926	negative
41588	negative
18091	negative
56205	positive
24467	positive
47245	positive
32851	neutral
86982	negative
95247	positive
74211	neutral
51948	negative
28196	negative
71881	negative
50376	neutral
64161	negative
45304	negative
22248	neutral
27228	negative
57326	negative
97729	positive
24957	negative
68774	positive
43350	negative
41709	positive
71063	neutral
92516	positive
85100	positive
89661	positive
47898	negative
88523	neutral
19321	neutral
26042	negative
16694	positive
88221	neutral
30357	negative
11021	positive
26763	positive
59708	positive
78244	negative
11813	negative
16468	negative
75637	positive
71071	negative
17714	negative
97610	negative
63048	negative
30075	negative
74237	negative
60466	negative
25685	negative
16333	negative
78417	neutral
78760	neutral
78261	negative
40790	negative
63775	negative
44108	neutral
98949	neutral
74414	negative
51525	negative
84550	positive
19499	neutral
23530	positive
84034	positive
79051	neutral
93740	neutral
54366	positive
57284	negative
82565	neutral
59700	negative
13433	negative
80197	negative
90353	negative
36496	positive
93321	negative
79309	negative
80637	negative
50793	negative
84239	neutral
47834	negative
65426	neutral
81354	neutral
14479	negative
47696	negative
75438	neutral
11699	negative
62379	negative
71294	negative
55633	negative
43864	neutral
40013	negative
30399	neutral
47886	neutral
87934	neutral
46232	neutral
21869	negative
35976	neutral
59337	positive
57732	neutral
17563	negative
55899	neutral
47396	neutral
46717	positive
78260	neutral
22695	negative
27455	neutral
83466	negative
48657	negative
89635	negative
52335	positive
27360	neutral
53971	neutral
89603	negative
86611	negative
44222	neutral
41078	negative
44625	neutral
21197	neutral
12193	negative
73484	positive
96283	positive
78289	negative
29485	neutral
67024	neutral
97430	neutral
63985	negative
65505	neutral
29697	positive
26695	negative
86529	negative
37332	positive
80612	positive
89438	negative
68755	neutral
53675	positive
31195	positive
20522	negative
52866	neutral
65428	neutral
94260	negative
93256	negative
78364	neutral
70324	negative
96847	neutral
89329	negative
40929	positive
24798	neutral
99947	negative
94203	positive
11100	negative
83240	negative
14591	positive
66094	positive
59164	neutral
90036	negative
24047	neutral
81890	negative
26010	negative
72037	negative
56312	positive
10860	negative
38829	negative
78301	negative
56599	negative
94607	negative
72531	positive
37214	negative
84952	positive
98575	negative
58342	negative
53914	positive
76324	negative
18730	neutral
39429	negative
72893	negative
18786	negative
61004	negative
46603	positive
73236	negative
35785	positive
84045	negative
67049	negative
57804	positive
82273	negative
68340	neutral
78646	neutral
13582	negative
36455	positive
98994	neutral
92967	positive
70762	positive
98216	negative
42113	positive
61889	negative
30365	negative
68518	negative
37649	negative
21394	negative
14582	neutral
88487	positive
21714	neutral
50821	negative
57793	neutral
55400	neutral
59751	negative
66470	neutral
92215	negative
11122	negative
87139	positive
17311	neutral
89392	neutral
22311	negative
88188	neutral
35503	negative
75125	negative
49210	positive
21354	negative
48965	neutral
88939	negative
22594	negative
45855	positive
59159	negative
77395	positive
90492	positive
19410	negative
67211	negative
35940	neutral
33394	negative
96543	positive
45271	neutral
56513	negative
59691	negative
34864	positive
97956	neutral
49164	positive
14273	positive
38323	neutral
84848	negative
41997	negative
56637	positive
65514	negative
19815	positive
36737	positive
97410	negative
18782	positive
77746	negative
42925	neutral
17704	negative
61674	neutral
42419	neutral
83463	positive
39860	negative
93586	neutral
22189	positive
39918	negative
51726	positive
86382	neutral
20568	negative
14923	positive
53787	positive
53660	neutral
61551	neutral
21826	negative
80230	positive
24974	positive
56257	negative
61311	positive
79934	negative
96418	positive
55048	negative
77625	neutral
10252	neutral
63128	negative
70740	neutral
34034	neutral
92341	neutral
84419	negative
72634	negative
18825	positive
70424	neutral
35265	negative
44869	positive
22047	negative
66950	negative
57443	negative
76833	negative
22502	neutral
44206	positive
82044	negative
24929	negative
55832	negative
32056	negative
76339	neutral
21266	positive
83591	neutral
67841	negative
93576	neutral
44218	negative
51732	positive
74605	neutral
58487	positive
74006	neutral
94427	negative
96594	negative
85447	positive
62689	negative
72609	neutral
25047	negative
35968	neutral
99924	positive
34665	positive
45053	negative
56232	neutral
62051	positive
69036	positive
14516	neutral
29514	negative
75770	negative
89749	neutral
25138	neutral
15866	negative
91659	positive
30657	positive
57185	negative
33172	negative
71506	positive
49079	negative
91430	negative
29203	negative
66750	negative
27913	negative
94816	positive
54004	negative
41609	neutral
74157	positive
65187	positive
42656	negative
53325	negative
48503	positive
36871	positive
10417	neutral
10611	positive
66771	neutral
23461	neutral
71455	positive
46410	negative
48142	positive
58191	neutral
65968	neutral
26072	negative
16856	negative
89200	negative
57869	negative
45269	negative
85583	negative
88398	neutral
50667	positive
90222	positive
74235	neutral
52352	positive
95106	neutral
16717	neutral
37049	neutral
58975	positive
62938	negative
15437	negative
21198	neutral
66623	neutral
91472	neutral
27211	negative
98531	negative
46018	negative
19152	neutral
43753	positive
98685	negative
31665	negative
38732	negative
47022	negative
66074	negative
41323	neutral
27613	neutral
61997	positive
58690	neutral
15977	negative
31957	neutral
46983	negative
90529	neutral
91136	negative
76332	negative
42929	positive
82896	positive
30424	neutral
97795	positive
22067	negative
48738	positive
62374	neutral
95156	positive
81749	positive
68363	neutral
79756	positive
24097	neutral
99563	negative
92047	neutral
23542	negative
43453	positive
69292	neutral
97930	positive
28354	neutral
74959	positive
96033	neutral
80440	neutral
98096	neutral
83416	negative
59687	neutral
86570	neutral
67418	negative
61929	negative
58632	neutral
51621	neutral
85309	negative
57330	neutral
30207	positive
62237	negative
92823	negative
39788	neutral
48820	positive
35612	negative
96905	negative
34122	negative
17100	negative
72538	negative
68371	negative
24638	positive
73621	positive
79778	negative
87617	neutral
16323	negative
90328	negative
71350	negative
43782	negative
46378	positive
18357	neutral
24000	positive
51286	positive
10412	positive
84900	neutral
45147	neutral
58287	negative
44599	positive
38726	negative
36393	neutral
74747	positive
43173	negative
58109	negative
42091	negative
29475	neutral
19296	neutral
96203	neutral
27467	neutral
42404	neutral
14972	positive
49426	positive
82638	positive
51052	negative
32059	neutral
77649	neutral
32061	negative
88660	negative
63129	negative
79653	negative
99016	neutral
57283	negative
74797	negative
25177	negative
68831	neutral
60621	negative
87428	negative
39400	negative
90355	negative
38003	positive
62788	negative
28484	neutral
91471	neutral
84343	positive
88745	negative
70443	negative
90402	positive
90327	negative
85687	positive
88177	positive
31022	neutral
65545	positive
56129	positive
51851	negative
31997	negative
89493	negative
34903	neutral
40766	positive
58543	neutral
53194	neutral
79222	negative
72401	negative
37002	neutral
31354	negative
99347	negative
60713	negative
89054	positive
29008	negative
96333	negative
19770	neutral
41590	negative
72523	negative
25783	negative
16683	positive
14640	neutral
31641	neutral
23762	positive
45984	neutral
74909	negative
88822	negative
89432	positive
38070	positive
96397	neutral
37342	neutral
77917	neutral
31499	neutral
52547	negative
34030	negative
21054	positive
60546	positive
98396	positive
29882	positive
90581	negative
69073	negative
49338	negative
22812	neutral
29113	negative
13097	neutral
98816	negative
77222	positive
95258	negative
36892	negative
51589	negative
48945	negative
74448	neutral
76036	neutral
11286	positive
36500	positive
21677	positive
73105	negative
41821	negative
72213	negative
14258	negative
13131	neutral
76379	negative
25354	positive
89417	negative
68256	negative
78984	neutral
52080	negative
25127	neutral
48650	positive
51762	negative
71592	negative
28558	neutral
32141	negative
80406	positive
73366	neutral
26454	positive
78688	negative
76135	negative
30778	negative
48418	neutral
10313	negative
78950	neutral
13993	neutral
32492	neutral
50781	negative
22569	negative
87317	neutral
53862	positive
89424	neutral
22470	neutral
48938	negative
85360	positive
90032	positive
31182	positive
83464	negative
51218	neutral
41438	negative
72867	negative
73439	negative
25657	positive
67018	negative
50665	negative
24583	negative
