id	sentiment
86426	neutral
90194	negative
16820	neutral
62688	negative
43605	negative
97670	negative
77444	negative
52415	negative
45157	positive
13384	negative
82776	neutral
42992	negative
28414	negative
54920	negative
56392	positive
86735	positive
95686	neutral
71446	positive
23958	positive
28195	neutral
56117	negative
67757	positive
12681	negative
82904	negative
63236	positive
77665	negative
83484	neutral
74932	negative
91252	neutral
25440	neutral
81613	positive
82333	neutral
12609	negative
13017	neutral
18129	negative
70380	negative
12108	negative
14726	negative
74358	neutral
82599	neutral
40212	negative
78367	negative
66596	positive
70999	negative
36026	negative
29439	positive
74477	negative
49845	negative
32305	negative
77243	neutral
73205	negative
47311	positive
48553	negative
75689	neutral
84102	negative
10607	negative
43913	positive
98992	negative
92056	negative
33853	negative
75215	negative
96218	negative
57013	negative
20883	negative
74831	positive
53264	negative
28204	negative
42024	positive
84664	negative
54842	neutral
48995	negative
47153	negative
76826	negative
27645	negative
64429	neutral
20943	negative
78064	negative
14122	negative
72353	positive
39051	negative
54546	negative
50759	neutral
75992	neutral
45068	negative
17259	negative
95225	neutral
84667	negative
14574	neutral
23784	neutral
93119	negative
30115	neutral
69281	negative
15322	positive
75089	positive
21379	negative
43133	negative
52102	positive
59537	neutral
44209	positive
96664	positive
12559	negative
61914	positive
32317	positive
94767	positive
64835	negative
41353	negative
52252	negative
91001	negative
18495	positive
76680	neutral
88013	negative
66349	negative
80561	negative
16052	neutral
49996	neutral
77086	neutral
10972	negative
69160	positive
28380	neutral
40252	negative
39907	negative
16164	neutral
52824	positive
77294	negative
13420	neutral
16940	negative
83816	positive
99156	negative
11255	neutral
28841	positive
79060	positive
71682	neutral
17577	positive
27503	negative
59998	negative
81119	neutral
28812	negative
84131	negative
23179	negative
28601	negative
64776	neutral
95712	neutral
69972	negative
37115	positive
80696	positive
68163	neutral
96789	negative
68629	negative
66109	negative
19419	negative
32942	neutral
74285	negative
77319	negative
30517	neutral
69077	positive
67758	negative
35944	negative
48223	neutral
47168	neutral
53947	neutral
49504	negative
66291	neutral
31229	negative
75850	positive
88546	negative
29241	positive
19842	negative
69232	negative
36471	neutral
32897	negative
62072	negative
95444	negative
51172	neutral
62481	negative
71895	neutral
78366	negative
39021	positive
68840	negative
96837	negative
51815	neutral
62023	negative
10253	positive
21367	neutral
33797	negative
11160	neutral
32916	negative
47427	negative
87052	negative
29556	negative
18547	negative
32688	negative
57850	neutral
82607	negative
82339	negative
98077	negative
62815	positive
34510	negative
53501	neutral
69928	negative
31853	negative
13872	negative
30791	neutral
80385	negative
54292	negative
28985	negative
52375	negative
74004	negative
70838	negative
64577	positive
44448	negative
53928	negative
45337	neutral
85707	negative
63292	neutral
15991	negative
25009	positive
90990	positive
65785	negative
38837	negative
94182	negative
77653	positive
27238	positive
12892	neutral
16885	negative
46581	neutral
41517	neutral
22717	negative
88539	neutral
65786	negative
54437	negative
19514	negative
57943	negative
66328	negative
34317	negative
44837	negative
36289	negative
80570	negative
43185	negative
86477	neutral
67080	negative
96270	negative
44015	negative
48060	negative
31065	negative
11411	negative
10133	positive
22128	negative
36518	positive
59559	positive
99618	negative
53309	neutral
29497	negative
84329	negative
50315	negative
97959	negative
66524	positive
97300	negative
12919	neutral
40855	negative
84100	negative
21270	positive
41818	positive
12435	negative
14808	negative
82579	negative
84523	neutral
61917	neutral
33322	neutral
79251	negative
42540	positive
13881	neutral
70402	negative
83462	negative
87206	negative
87300	negative
54125	neutral
75848	negative
14948	neutral
66798	negative
80497	negative
38561	negative
55203	positive
31776	negative
60916	neutral
97277	negative
63113	positive
59721	negative
53839	negative
15616	neutral
95200	negative
77769	negative
65790	neutral
48548	negative
83751	negative
62541	positive
62107	negative
18474	negative
33096	negative
22879	neutral
81470	neutral
20322	negative
26694	neutral
60130	negative
54559	negative
34961	negative
14285	negative
25012	neutral
19121	negative
61272	positive
25360	negative
56949	positive
34893	negative
90958	neutral
42133	negative
18834	positive
12741	negative
42528	neutral
29300	positive
14850	negative
38043	negative
40340	positive
76709	positive
22728	neutral
14037	negative
11640	negative
47009	negative
90912	negative
97936	negative
12531	negative
61448	neutral
23853	negative
58454	negative
63262	negative
13136	neutral
74670	negative
45111	positive
72024	negative
11405	positive
90605	negative
28728	negative
98547	negative
98382	negative
80430	neutral
68007	positive
88809	negative
71577	neutral
15863	neutral
11918	positive
17391	negative
34443	negative
87904	neutral
19732	neutral
52972	neutral
20800	negative
39866	negative
18348	neutral
61093	positive
75384	negative
68664	neutral
90705	negative
83290	neutral
22185	neutral
13257	positive
90575	neutral
37630	positive
51377	positive
51635	negative
14407	neutral
87366	positive
77089	negative
27974	neutral
79972	negative
38981	negative
30085	negative
95773	negative
94397	neutral
51053	negative
21635	neutral
80767	negative
63772	positive
14131	negative
62738	neutral
33709	negative
98754	negative
53995	negative
52965	negative
19654	negative
46633	negative
82171	negative
54467	positive
50936	negative
97580	negative
18747	positive
54991	negative
55051	negative
59090	neutral
23159	negative
58548	negative
41277	negative
51592	negative
38752	negative
56068	negative
29892	positive
88585	negative
14234	negative
25552	negative
56476	negative
97329	negative
85409	negative
83153	negative
70465	negative
14118	neutral
79969	negative
63792	negative
71927	neutral
82293	negative
48263	negative
80449	neutral
61995	neutral
32122	positive
65470	negative
86166	neutral
40450	neutral
61533	positive
31469	negative
53663	neutral
40857	negative
48969	negative
23228	neutral
98137	negative
85415	negative
78473	negative
30890	neutral
92935	negative
58208	negative
86626	negative
86331	negative
18702	negative
87470	negative
27045	neutral
14408	positive
78567	neutral
41887	positive
74595	positive
26033	negative
80107	negative
76439	neutral
50971	negative
84294	negative
62487	positive
53037	negative
81018	neutral
10605	negative
54335	negative
81644	positive
62586	negative
70286	negative
85157	negative
54395	neutral
88302	positive
14590	neutral
93419	negative
93280	negative
97831	negative
82366	neutral
13936	negative
70315	negative
17909	negative
68350	negative
83457	negative
14877	neutral
63762	negative
34479	negative
25407	negative
78739	negative
19932	neutral
67666	positive
67747	positive
33095	negative
50390	negative
59395	negative
88168	negative
38444	negative
74736	positive
77647	negative
30426	negative
16113	negative
67932	positive
17278	neutral
63382	negative
38806	negative
77228	positive
18714	negative
37482	positive
73203	negative
66497	negative
18028	neutral
95987	neutral
65587	negative
82711	neutral
36795	positive
93396	neutral
88956	negative
63418	negative
87311	negative
21223	negative
81763	negative
56361	positive
98780	neutral
25469	negative
74815	neutral
48283	negative
